CodClien final,groups,ticket_prom_mes
1912122,NO_CP,22462.01222222222
1912123,NO_CP,9452.626666666665
1912149,NO_CP,10461.316666666666
1912174,NO_CP,16409.014166666664
1912224,NO_CP,33295.60916666667
1912237,NO_CP,21909.318888888887
1912439,NO_CP,8245.308
1912478,NO_CP,7361.418181818182
1912482,NO_CP,19989.465
1912666,NO_CP,9150.415
1912761,NO_CP,7325.811111111111
1912826,NO_CP,10865.06875
1912909,NO_CP,16468.174166666668
1913156,NO_CP,16986.735
1913159,NO_CP,7440.3910000000005
1913186,NO_CP,18813.636363636364
1913289,NO_CP,15345.4825
1913408,NO_CP,7656.414545454545
1913611,NO_CP,5991.755454545454
1913721,NO_CP,13964.102222222222
1913943,NO_CP,6420.644545454546
1913972,NO_CP,14333.4325
1914092,NO_CP,14272.330833333333
1914187,NO_CP,7700.551666666666
1914310,NO_CP,11360.089166666667
1914596,NO_CP,15976.666000000001
1914637,NO_CP,8026.223
1914649,NO_CP,14513.81375
1914867,NO_CP,7946.683333333333
1915109,NO_CP,12973.165833333333
1915151,NO_CP,7168.1575
1915441,NO_CP,10250.64
1915455,NO_CP,38262.849
1915463,NO_CP,21407.287500000002
1915496,NO_CP,6170.42125
1915607,NO_CP,6328.996363636365
1915697,NO_CP,8608.286666666667
1915784,NO_CP,10743.7525
1915823,NO_CP,16078.673333333332
1915940,NO_CP,7090.670833333334
1915989,NO_CP,55074.915
1916011,NO_CP,11243.47
1916020,NO_CP,6259.114444444444
1916051,NO_CP,11483.74888888889
1916308,NO_CP,58870.570999999996
1916694,NO_CP,12114.0275
1916793,NO_CP,6180.255
1916823,NO_CP,15998.308888888889
1916954,NO_CP,24006.62111111111
1916985,NO_CP,15321.986666666666
1917280,NO_CP,8072.281818181818
1917513,NO_CP,47808.40545454545
1917527,NO_CP,97517.20222222223
1917531,NO_CP,51725.84625
1917684,NO_CP,28298.77
1918084,NO_CP,21586.837
1918085,NO_CP,6007.1925
1918856,NO_CP,49660.34777777778
1919071,NO_CP,17753.724444444444
1923052,NO_CP,78001.83416666667
1923061,NO_CP,43380.259090909094
1924349,NO_CP,11287.961666666668
1924454,NO_CP,7605.494166666666
1924479,NO_CP,7389.475454545454
1924652,NO_CP,8181.423333333333
1924789,NO_CP,8041.193333333334
1925026,NO_CP,26796.841999999997
1925078,NO_CP,7194.674999999999
1925235,NO_CP,30056.27727272727
1925294,NO_CP,48950.83555555556
1925355,NO_CP,10285.71625
1925451,NO_CP,12569.4325
1925518,NO_CP,14181.404444444443
1925592,NO_CP,24191.103750000002
1925600,NO_CP,6713.7555555555555
1925656,NO_CP,9621.620909090909
1925814,NO_CP,21837.576
1926006,NO_CP,12037.095
1926193,NO_CP,13839.545
1926324,NO_CP,11436.50111111111
1926469,NO_CP,34696.94
1926604,NO_CP,29360.37
1926675,NO_CP,21078.923333333336
1926748,NO_CP,8937.688750000001
1927069,NO_CP,14940.034999999998
1927270,NO_CP,6810.134166666667
1927341,NO_CP,10522.417777777779
1927343,NO_CP,11317.090999999999
1927487,NO_CP,74089.895
1927512,NO_CP,60696.496999999996
1927596,NO_CP,8654.297999999999
1927705,NO_CP,12104.22
1928021,NO_CP,20035.834545454545
1928358,NO_CP,20022.886666666665
1928780,NO_CP,19740.515833333335
1929066,NO_CP,29494.428000000004
1929091,NO_CP,13133.005833333335
1929095,NO_CP,53399.119166666664
1929170,NO_CP,13289.649
1929269,NO_CP,10894.273333333333
1929276,NO_CP,18781.518999999997
1929277,NO_CP,31924.16
1929281,NO_CP,6826.96
1929299,NO_CP,9217.2
1929314,NO_CP,9178.825555555557
1929337,NO_CP,11455.2875
1929387,NO_CP,13371.666363636365
1929616,NO_CP,24509.9
1929650,NO_CP,8819.38
1929665,NO_CP,10009.45125
1929758,NO_CP,15666.039
1929890,NO_CP,17830.754444444447
1929911,NO_CP,7902.603333333333
1929926,NO_CP,45659.841
1930069,NO_CP,7277.353
1930137,NO_CP,10150.849999999999
1930183,NO_CP,10371.914
1930224,NO_CP,27804.042222222222
1930423,NO_CP,16749.24818181818
1930660,NO_CP,16912.4975
1930728,NO_CP,7415.509999999999
1930920,NO_CP,9474.721666666666
1930958,NO_CP,36965.556666666664
1930965,NO_CP,126793.226
1931174,NO_CP,29456.470833333336
1931224,NO_CP,9749.736666666668
1931300,NO_CP,55248.03
1931370,NO_CP,41059.949
1931421,NO_CP,7742.19
1931436,NO_CP,6438.23
1931725,NO_CP,11566.956363636364
1931748,NO_CP,43004.61181818182
1931763,NO_CP,12768.404999999999
1931775,NO_CP,6769.854444444444
1931863,NO_CP,7722.125
1931986,NO_CP,29097.391666666666
1932081,NO_CP,84151.41249999999
1932107,NO_CP,13325.55125
1932130,NO_CP,41923.85333333333
1932257,NO_CP,10126.172222222223
1932284,NO_CP,56758.105
1932300,NO_CP,66427.7125
1932372,NO_CP,9826.493636363637
1932419,NO_CP,41159.223333333335
1932420,NO_CP,7052.21375
1932432,NO_CP,24571.120000000003
1932457,NO_CP,8678.6375
1932575,NO_CP,24465.4475
1932587,NO_CP,14490.376363636366
1932595,NO_CP,28279.796666666665
1932619,NO_CP,12397.696666666665
1932693,NO_CP,8706.030999999999
1932795,NO_CP,27167.646249999998
1932878,NO_CP,14310.151666666667
1932946,NO_CP,26578.72111111111
1932951,NO_CP,30333.54625
1932955,NO_CP,10390.734545454547
1933027,NO_CP,44929.349166666674
1933056,NO_CP,20821.7175
1933063,NO_CP,8852.6325
1933261,NO_CP,22808.093
1933343,NO_CP,6403.110833333333
1933402,NO_CP,32859.880833333336
1933403,NO_CP,11543.005000000001
1933405,NO_CP,15483.140833333333
1933422,NO_CP,13441.625
1933497,NO_CP,8691.215454545454
1933516,NO_CP,10896.865555555554
1933545,NO_CP,7537.7525
1933574,NO_CP,30436.731
1933646,NO_CP,16741.394545454546
1933656,NO_CP,45960.809166666666
1933679,NO_CP,9227.153
1933844,NO_CP,37438.151666666665
1933848,NO_CP,9565.800833333333
1933993,NO_CP,23133.093333333334
1934002,NO_CP,11772.730000000001
1934053,NO_CP,14671.917272727274
1934057,NO_CP,18159.07181818182
1934113,NO_CP,95298.47444444445
1934319,NO_CP,67449.95749999999
1934374,NO_CP,10160.891111111112
1934427,NO_CP,6329.024444444444
1934430,NO_CP,65030.29727272727
1934460,NO_CP,22508.2
1934473,NO_CP,13692.695000000002
1934546,NO_CP,6070.467777777778
1934555,NO_CP,8392.74888888889
1934595,NO_CP,12198.878999999999
1934666,NO_CP,25437.95
1934667,NO_CP,23346.646
1934674,NO_CP,7434.610000000001
1934797,NO_CP,17477.525
1934825,NO_CP,75160.92555555556
1934845,NO_CP,17007.05333333333
1934900,NO_CP,87257.83333333333
1934902,NO_CP,54778.255000000005
1934938,NO_CP,18803.274444444443
1935129,NO_CP,85435.78625
1935141,NO_CP,6020.015
1935163,NO_CP,29185.035
1935166,NO_CP,15010.19375
1935169,NO_CP,109574.6075
